SMALL_AREA,OBJECTID,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,GEOGID,ESRI_OID,Shape__Are,Shape__Len,Cluster
267143021,11708,4c07d11e-1b52-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3035,267143,Tallaght-Kiltipper,267143021,A267143021,11708,5.17E-06,0.01096046,4
267141003,11716,4c07d11e-2259-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3033,267141,Tallaght-Killinardan,267141003,A267141003,11716,1.10E-05,0.017412445,6
267035005,11717,4c07d11e-2263-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3003,267035,Bohernabreena,267035005,A267035005,11717,1.93E-05,0.020146597,5
267017008,11737,4c07d11e-25fd-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,5012,267017,Blackrock-Monkstown,267017008,A267017008,11737,8.61E-06,0.016203522,4
267128002,11738,4c07d11e-25fe-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,5067,267128,Stillorgan-Mount Merrion,267128002,A267128002,11738,1.60E-05,0.020376734,4
267129002,11739,4c07d11e-25ff-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,5068,267129,Stillorgan-Priory,267129002,A267129002,11739,1.62E-05,0.019780327,4
267039010,11804,4c07d11e-25ad-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,5021,267039,Cabinteely-Pottery,267039010,A267039010,11804,1.19E-05,0.018257313,4
267020012,11805,4c07d11e-25ae-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,5009,267020,Blackrock-Carysfort,267020012,A267020012,11805,1.14E-05,0.015200432,4
267023005,11806,4c07d11e-25af-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,5013,267023,Blackrock-Newpark,267023005,A267023005,11806,1.23E-05,0.016629918,4
267023003,11807,4c07d11e-25b0-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,5013,267023,Blackrock-Newpark,267023003,A267023003,11807,6.58E-06,0.013151489,4
267081006,11819,4c07d11e-2605-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,5040,267081,Dundrum-Sweetmount,267081006,A267081006,11819,1.97E-05,0.021640797,4
267082001,11820,4c07d11e-2606-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,5041,267082,Dundrum-Taney,267082001,A267082001,11820,1.13E-05,0.016815831,4
267082002,11821,4c07d11e-2607-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,5041,267082,Dundrum-Taney,267082002,A267082002,11821,7.50E-06,0.017758592,4
267138019,11831,4c07d11e-1b6a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3030,267138,Tallaght-Fettercairn,267138019,A267138019,11831,6.07E-06,0.015393889,6
267138007,11832,4c07d11e-1b6b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3030,267138,Tallaght-Fettercairn,267138007,A267138007,11832,1.22E-05,0.01589944,6
267138009,11833,4c07d11e-1b6c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3030,267138,Tallaght-Fettercairn,267138009,A267138009,11833,4.81E-06,0.009709484,6
267138010,11834,4c07d11e-1b6d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3030,267138,Tallaght-Fettercairn,267138010,A267138010,11834,1.50E-05,0.028733579,6
267115016,11904,4c07d11e-21a5-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3024,267115,Rathfarnham-Hermitage,267115016,A267115016,11904,7.66E-06,0.018567978,5
267152004,11905,4c07d11e-21a6-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3044,267152,Templeogue-Orwell,267152004,A267152004,11905,1.22E-05,0.019534513,4
267149005,11906,4c07d11e-21a7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3041,267149,Templeogue-Cypress,267149005,A267149005,11906,1.17E-05,0.019677909,4
268040001,11907,4c07d11e-2120-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,NA,Dublin City,2097,268040,Cherry Orchard C,268040001,A268040001,11907,6.80E-06,0.019285893,6
268040007,11908,4c07d11e-2121-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,NA,Dublin City,2097,268040,Cherry Orchard C,268040007,A268040007,11908,6.00E-06,0.02252841,6
268040006,11909,4c07d11e-2122-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,2097,268040,Cherry Orchard C,268040006,A268040006,11909,1.40E-05,0.019437201,6
268038006,11910,4c07d11e-2123-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,2095,268038,Cherry Orchard A,268038006,A268038006,11910,2.12E-05,0.022568571,6
267051014/01,11911,4c07d11e-2130-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3008,267051,Clondalkin-Moorfield,267051014/01,A267051014/01,11911,7.05E-06,0.012984565,5
268039001,11912,4c07d11e-2131-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,NA,Dublin City,2096,268039,Carna,268039001,A268039001,11912,3.46E-06,0.023416487,6
267155006,11913,4c07d11e-21bc-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,NA,South Dublin,3047,267155,Terenure-Cherryfield,267155006,A267155006,11913,3.85E-06,0.010768043,2
268039002,11914,4c07d11e-2140-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,NA,Dublin City,2096,268039,Carna,268039002,A268039002,11914,4.67E-06,0.023280851,6
268039007,11915,4c07d11e-2141-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,NA,Dublin City,2096,268039,Carna,268039007,A268039007,11915,3.30E-06,0.011127187,3
268039005,11916,4c07d11e-2142-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,2096,268039,Carna,268039005,A268039005,11916,6.46E-06,0.014732763,6
268095002,11917,4c07d11e-2143-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,NA,Dublin City,2116,268095,Kylemore,268095002,A268095002,11917,2.81E-06,0.011748336,3
268061004,11918,4c07d11e-2144-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,NA,Dublin City,2105,268061,Drumfinn,268061004,A268061004,11918,5.00E-06,0.014709121,6
268039003,11919,4c07d11e-2145-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,NA,Dublin City,2096,268039,Carna,268039003,A268039003,11919,4.12E-06,0.020652358,3
268054006,11924,4c07d11e-2135-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,NA,Dublin City,2101,268054,Crumlin D,268054006,A268054006,11924,2.98E-06,0.015959574,3
