SMALL_AREA,Cluster
267113008,4
267083019,6
267083008,4
267116002,4
267142013,4
267142010,4
267108007,3
267108006,4
267100014,5
267100050,5
267100051,5
267043004,7
268147002,4
268146006,4
268146001,4
267138013/01,6
267053021,5
267053023,5
267108004,3
268116009,4
268116011,7
268114008,7
267136002,3
267148008,3
267137006,4
267137002,4
267137004,4
267051002,6
267051004,5
267052004,6
267145006,3
267136004,3
267136003,3
267139002,2
267148004,3
268112016,4
268111011,4
267028066/02,2
267116010,4
267114003,4
267115009,4
267124002,4
267144015,5
267144013,4
267144011,4
267142001,4
267142007,4
267144008,5
267144010,5
267144009,4
267142012,4
267028051,5
267028045,5
267040024,4
267049019,5
267049031,3
267049036,6
267053024,5
267053027,5
267116004,4
267116008,4
267114004,4
267083011,3
267140041,2
267140036,5
267151008,5
267085010,5
267085012,4
267119004/02,2
267119013,3
267100052,5
267100040,5
267048005,6
267100038,5
267100034,5
267152003,4
267113010,4
267113009,4
267151011,4
267101001,3
267049022,2
267050014,4
267113004,4
267113007,4
267084025,4
267085007,5
267085008,5
267085023,4
267086001,4
267052002,6
267052007,6
267052005,6
267151009,4
267151005,4
267157003,4
267084017,4
267141009,6
267140049,6
267140028,6
267113001,4
267084040,4
267084024,4
267085017,4
267013001,4
267114009,4
267013006,4
267086008,4
267085025,5
267140038,6
267100017,5
267084032,4
267049028,4
267049016,5
267049021,6
267049014,4
267084036,4
267084038,4
267085016,4
267085020,4
267140012,6
267141002,6
267103012/01,2
267103013,2
267053014,5
267100011,6
267115011,4
267010004,4
267049010,3
267049013,4
267100078,5
267156006,4
267152001,4
267150001,5
267156005,4
267053017,3
267083012,4
267083017,3
267058003,4
267058004,4
267056005,1
267056007/01,1
267056006,1
268129025,7
268116005,7
268114015,7
268142009,1
268117018,7
268117011,7
268117012,7
268117014,7
267082007,4
267058007,4
267056004,4
267059002,7
267049012,4
267048003,4
267050017,4
267142003,4
267024007,4
267070003,3
268114003,4
267024002,3
267017005,4
267025003,6
268142017,1
268142011,1
268142021,7
267024001,4
267050019,4
267050008,3
267100054,5
268116007,1
268114005,7
268113010,4
267124006,4
268113006,4
268113001,7
267126001,4
267020017,4
267020019,4
267129005,4
267020011,7
267047001,5
267142002,4
267013003,4
267013017,4
267128007,4
267059009,4
267058002,4
267126006,4
267020015,5
267087006,4
267024006,4
267049026,3
267049007,5
267089001,4
267089003,4
267070004,4
267089005,4
267089004,5
267089002,4
267056003,5
267045003,4
267050016,4
267049008,2
267049009,3
267050007,2
267025002,4
267025008,7
267023004,4
267025010,7
267025007,1
267025009,7
267042003,4
267024008,4
267019011,7
267026005,4
267148001,4
267148006,4
267139006,4
267148011,3
267023006,3
267023007,4
267023002,4
267020003,3
267023001,4
267020008,5
267020007,7
267020005,4
267089008,4
267013009,5
267013011,5
267013005,4
267113002,4
267022007,7
267022006,4
267128006,4
267020014,4
267127010,4
267127008,7
267127006,3
267129006,4
267129004,4
267021006,4
267018002,4
267050002,3
267050011,4
267050001,4
267049029,3
267129001,4
267026004,4
268133002,7
267026007,4
267021001,4
267017011,7
267045004,4
267045007,4
267021007,4
267026010,7
268129019,4
268130002,4
268129014,7
268113011,4
267021005,1
267044011,4
267043005,4
267045002,4
268127011,4
267019004,7
267100027,5
267100005,5
267100025,5
267100026,5
267020004,5
267021002,5
267021004,4
267021010,4
267019007,7
267022002,1
267019005,7
267022005,5
267125011,4
268129003,4
268129021,7
268128012/01,7
268128011,7
268116004,7
267046002,4
267046003,4
267046004,7
267045001,4
267078021,4
267126002,4
267017003,4
267127011,4
267017012,7
267018005,5
267018007,4
267021013,7
268127018,1
268130011,7
268135007,7
267025005,7
267025011,7
268130005,7
268130001,7
267017013,7
267017010,7
267022001,7
268129023,4
268127004,4
268127002,4
268130014,4
267057007,3
267058006,5
268134012,7
268112009,4
268114006,7
268135012,7
267022004,4
267024005,7
267055003,4
267082008,4
268129026,7
268112010,7
267053012,5
267053002,3
267053003,3
268130006,4
268129013,1
267055008,4
267055002,7
268129017,4
268113007,7
267126004,4
268128022,4
267128004,4
267127004,4
267089006,4
267087002,4
267082004,4
267082006,4
268113009,4
267127001,4
267127002,4
267090001,4
267127007,7
268113004,7
268113003,7
268112004,4
268114014,4
268112003,7
267062002,4
267059003,4
267007003,5
267007017,4
267092045,5
267092032,6
267092015/02,2
267092007,2
267092042,5
267038002,5
267092036,5
267057002,7
267120010,4
267092057,6
267092054,2
267092059,6
267088004,4
268017021,6
267160004,4
267038009,2
267120016,5
267120015,5
267120013,6
267120012,3
267097011,7
267039006,4
267039008,4
267015006,3
267062004,4
267062005,4
267012001,4
267121007,4
267015009,4
267097009,6
267097006,4
267036004,4
267092031,5
267122006,4
267122013,4
267121003,3
267036001,4
267036007,4
267044002,4
268161004,3
268099007,1
267028112,2
267096008,4
267012005,4
267044009,4
267012006,4
267081008,4
267092023,5
267092028,2
267092051,5
267097005,6
267097021,6
267028068,5
267124003,4
267124010,4
267124004,4
267088020,4
267088011,4
267090002,4
268025005,4
268026008,4
268026007,3
268068009,6
268068006,3
267096005,4
267097003,4
267097014,4
267015004,4
267038013,5
267038012,2
267037004,4
267096011,4
268067005,3
268066002,3
267008007,4
267011002,4
267012003,4
267079001,2
267039014,7
267036008,4
267012004,6
267079002,4
267036006/02,4
267036003,4
267009002,4
267092055/02,1
268126005,7
268157003,4
267079012,4
267079008,4
267092037,5
267092053,2
267080017,4
267080016,4
268161006,1
267126003,7
267088009,4
267088006,4
268150001,7
268100005,1
267088019,4
268088004,3
268087004,4
267088015,5
267092027,2
267007012,4
267007013,4
267039005,4
267060004,4
268088012,2
268088011,2
268120003,3
268123009,3
267122017,5
267008005,4
267008006,4
267009005,4
267096012,4
267096010,4
267080027,4
267008001,4
267125014,4
267124001,4
267124007,4
267009006,4
267125015,4
267125001,4
267037007,3
268150003,3
267079014,4
267079007,4
267009004,4
267007010,4
267078004,3
267011003,4
267081001,4
267011005,4
268100004,7
267092046,5
267120005,5
267097004,5
267088013,4
268053001,7
268053008,3
268103002,7
268103009,7
268103003/268103005/268103006,6
268092001,7
267007018,5
267092009,5
267011006,4
267080011,4
268148010,7
268150015,1
267044006,3
267080021,3
267078002,4
267092020,5
267092019,4
267039003,4
267087005,4
267087004,4
267080014,4
267122011,4
267096002,3
267121004,6
267121005,3
267044010,4
267081007,7
267011001,4
267125003,7
267125010,4
267078006,4
267078010,4
267078017,5
267078008,6
267078009,4
267078013/03,1
267124008,4
267042002/02,7
267042002/01,4
267121008,4
267073005,4
267078001,4
267080024,2
267121009,4
267121001,6
267125004,4
267097010,6
267007009,4
267080005,2
267081003,4
267081004,4
267081005,1
267037005,4
267029008,5
268143016,6
268116003,4
267029018,6
267108010,3
268037010,3
268037011,3
268037008,7
267029005,6
267029016,3
267031005,4
267031006,4
