ID,AREA_DESC,ROADNAME,Area,TOTAL_SPACES,DIPPED_FOOTPATH,PARK_SIGN,ROAD_MARKING,OCCUPIED,Adjacent_Services,LAT,LONG
314,Houses,STRAND STREET,,1, , ,TRUE,TRUE,"Housing, Restaurant",53.577624,-6.105876798
315,Opposite The Central Take Away,STRAND STREET,,1, , ,TRUE, ,Takeaway,53.5781079,-6.105950381
316,Outside Church,STRAND STREET,,2, , ,TRUE, ,"Library, Church",53.57835448,-6.106248381
317,Outside Church,STRAND STREET,,2, , ,TRUE, ,"Church, Library",53.57845206,-6.106281139
318,Coast Carpark,NA,,2, , ,TRUE, ,Coast Area,53.58576613,-6.10341821
319,Coast Carpark,NA,,2, , ,TRUE, ,Coast Area,53.58576483,-6.103362811
320,Outside Laundry,CHURCH STREET,,1, , ,TRUE, ,Housing,53.57660809,-6.105363862
321,Fingal Red Island Carpark,NA,,4, ,TRUE,TRUE, ,Coast Area,53.58514358,-6.102159655
322,Fingal Red Island Carpark,NA,,4, ,TRUE,TRUE, ,Coast Area,53.58516333,-6.102163743
323,Fingal Red Island Carpark,NA,,4, ,TRUE,TRUE, ,Coast Area,53.5851894,-6.102167008
324,Fingal Red Island Carpark,NA,,4, ,TRUE,TRUE, ,Coast Area,53.58521838,-6.102176986
325,SuperQuinn Sutton,HOWTH ROAD,,2, ,TRUE,TRUE, ,"Chemist, Newsagents, Supermarket, Post Office",53.39002285,-6.109430949
326,SuperQuinn Sutton,HOWTH ROAD,,2, ,TRUE,TRUE,TRUE,"Chemist, Newsagents, Supermarket, Post Office",53.38992268,-6.109420823
327,SuperQuinn Sutton,HOWTH ROAD,,1,TRUE,TRUE,TRUE, ,"Chemist, Newsagents, Supermarket, Post Office, Hairdresser",53.38988937,-6.109049925
328,Outside Sharon health and beauty,SANDY ROAD,,1, ,TRUE,TRUE,TRUE,Beauty Clinic,53.52238889,-6.097863945
329,Outside Rush Hardware,MAIN ST,,1, ,TRUE,TRUE, ,"Chemist, Newsagents",53.52247707,-6.095096033
330,"Rush Main Street, near doctors",MAIN ST,,1, ,TRUE,TRUE, ,"Housing, GP",53.52213372,-6.092854387
331,Opposite Post Office,MAIN ST,,2, ,TRUE,TRUE, ,Post Office,53.52196761,-6.09171716
332,Opposite Post Office,MAIN ST,,2,TRUE,TRUE,TRUE, ,"Newsagents, Post Office",53.52198462,-6.091822786
333,Sutton Park School,SOUTH HILL,,1,TRUE, ,TRUE, ,Secondary School,53.37627097,-6.093155935
334,Rush Harbour,LOWER MAIN ST,,1, , ,TRUE, ,"Pub, Housing, Coast Area",53.52251472,-6.08215515
335,Howth Golf Club,ACCESS TO HOWTH GOLF CLUB,,2, , ,TRUE, ,Sports Club,53.37596884,-6.088042904
336,Howth Golf Club,ACCESS TO HOWTH GOLF CLUB,,2, , ,TRUE, ,Sports Club,53.37598418,-6.088020303
