Name of Development,Street Address / Townland,"Town, Village, Suburb ",County,"""x"" East Coordinates","""y"" North Coordinates",TOTAL,Complete & occupied,Complete & vacant
Bellamont View,Clones Rd.,Cootehill,Cavan,659733,814397,41,21,9
Cnoic Alainn ,Clones Rd.,Cootehill,Cavan,659807,814524,31,28,2
Not Known,Cornacarrow,Cootehill,Cavan,659172,814619,2,0,0
Clements Town,Clones Rd.,Cootehill,Cavan,659585,814995,51,50,1
Church View,Town park,Ballyhaise,Cavan,644748,810985,35,5,0
Not Known,Kinnypottle,Cavan,Cavan,642540,805285,24,0,0
Not Known, Kilnacrot,Mount Nugent,Cavan,649550,788348,2,0,2
Not Known,Drummanduff,New inn,Cavan,654710,795531,2,1,1
Not Known,Carrickacronan,Clifferna,Cavan,657236,801716,2,0,0
Ashbrooke,Moynehall,Cavan,Cavan,642108,803062,149,99,8
Creighan Manor,Creighan & Burgess Acre,Cavan,Cavan,642294,803299,80,14,6
Castleforde,"Ballyconnell House, Annagh",Ballyconnell,Cavan,627443,818610,117,44,34
Derryoak,Derryginney,Ballyconnell,Cavan,627039,818606,18,12,0
The Lawn,Bawnboy,Bawnboy,Cavan,620998,819429,24,2,6
No name evident on site. ,Tuam,Blacklion,Cavan,608180,838059,8,4,2
Kiltrasna,Corlismore,Ballinagh,Cavan,633516,797150,2,0,0
No name,Cavan Rd. Portaliffe / Townsparks Td.,Killeshandra,Cavan,631027,807184,5,0,0
Not Known,Virginia Rd,Mullagh,Cavan,668574,785325,12,0,0
Tullach Ard,"Dublin Rd., ",Virginia,Cavan,660932,787572,6,3,0
The Ramparts,"Bailieborough Rd., Rahardrum",Virginia,Cavan,660460,788080,111,52,15
River Cresent,Cavan Rd,Virginia,Cavan,660169,788001,79,58,0
An Tor Aonarach,"Rocks Rd., Dunaree",Kingscourt,Cavan,677850,795687,46,31,12
Not Known,"Taghart North, Closnabrandder",Shercock,Cavan,674586,802672,2,1,0
 Not Known,Bailieborough Rd,Virginia,Cavan,661211,787840,58,0,0
DUN NA MANACH,SHANNON ROAD,QUIN,Clare,541562,674448,48,40,8
MAIGH DARA,SHANNON ROAD,QUIN,Clare,541220,674572,45,42,3
CLUAININ,TULLAVARRAGA,SHANNON,Clare,541433,661820,72,41,19
