Name of Development,Street Address / Townland,"Town, Village, Suburb ",County,"""x"" East Coordinates","""y"" North Coordinates",TOTAL,Complete & occupied,Complete & vacant
Abbeyview,Abbey Road,Fethard ,Tipperary South,621219,635176,59,30,4
name Unknown,Cahir Road ,Ardfinnan,Tipperary South,608105,618235,6,5,1
An Seanline ,Kerry Street,Fethard ,Tipperary South,620347,634793,50,22,0
Cluain Ard,Cashel  Road,Fethard ,Tipperary South,620207,635147,9,5,4
Manor Court ,Thomastown ,Thomastown ,Tipperary South,598356,637992,10,3,5
 Greenhill Village,"Knockaconnery,Waterford rd.", Carrick on-suir ,Tipperary South,641090,622492,87,7,13
 Glegg Close, Cregg Road , Carrick on-suir ,Tipperary South,640432,622252,20,14,6
 Clegg Lawns , Cregg Road , Carrick on-suir ,Tipperary South,640461,622523,75,58,17
 Glennanlocha, St Johns Road , Carrick on-suir ,Tipperary South,639642,622418,118,11,3
Castle Heights , Dungarvan Road, Carrick on-suir ,Tipperary South,640273,621093,50,48,2
 Maple Lane , Kilsheelan, Kilsheelan,Tipperary South,628225,623689,3,0,0
 Gracefield , Fethard Rd., Clonmel,Tipperary South,620170,624524,37,6,0
Cnoc An gCaiseal, Fethard Rd.,Ardfinnan,Tipperary South,608092,618199,6,5,1
Housing Development ,Cashel Rd, Dundrum,Tipperary South,597217,645118,24,9,0
 Ravenswood , Cregg Rd , Carrick-on-Suir,Tipperary South,640611,622608,71,54,17
 Manor Court,Thomastown ,Thomasatown ,Tipperary South,598356,637992,10,3,5
Ard Aoibhinn,Haywood Road,Clonmel,Tipperary South,619250,623940,4,0,4
 Gort Na Managh, Cahir Road ,Clonmel,Tipperary South,617868,622702,72,35,15
 Barr An Aird, Heywood Rd, Clonmel,Tipperary South,619257,624245,21,18,3
Crannard, Ardgeetha Upr. Fethard Rd, Clonmel,Tipperary South,620076,624553,110,58,25
An Duiche,Galbally Road ,Tipperary Town,Tipperary South,588650,635018,205,164,41
 Ashfield Manor,"Ladys Abbey, Kilballygorman",Ardfinnan,Tipperary South,607760,617176,63,23,5
 unknown/ infill scheme, Main ST,Ballylooby,Tipperary South,601138,619557,4,1,3
Name Unknown,Dundrum , Dundrum,Tipperary South,597232,645132,57,9,0
The Steeples ,"Hughes Lot, Dualla Rd",Cashel ,Tipperary South,608329,640721,174,38,5
Sean Tracy Heights,Kilfeakle,Kilfeakle,Tipperary South,595697,637399,16,2,6
Ivowen , Kilsheelan, Kilsheelan,Tipperary South,628819,623533,175,134,3
 Kylemore(adj.Dromard Est), Cashel Rd, Clonmel,Tipperary South,619573,623936,32,13,19
 Ros Na Graine, Clogheen Rd. Magheragh,Ardfinnan,Tipperary South,607347,617603,67,4,22
CARRIG AN AIRDE,SIX CROSS RDS,WATERFORD,Waterford City,658798,609396,180,112,2
9/11 PARLIAMENT ST,WATERFORD,WATERFORD,Waterford City,660551,612072,9,0,9
FOXWOOD,SIX CROSS RDS,WATERFORD,Waterford City,658830,609611,65,15,1
WATERSGATE,BILBERRY,WATERFORD,Waterford City,658931,613453,50,18,5
KILL ST LAWRENCE,AIRPORT RD,KILLURE,Waterford City,660957,609714,107,39,7
THE PADDOCKS,GRANTSTOWN,WATERFORD,Waterford City,663466,609872,119,68,5
WOODBROOK ,CARRICKPHIERISH RD,GRACE DIEU,Waterford City,658178,612698,187,5,2
MOUNT SUIR,CARRICKPHIERISH RD,GRACE DIEU,Waterford City,658486,612653,113,30,11
CNOIC CAISLEAN,KNOCKBOY,WATERFORD,Waterford City,663744,609603,90,29,8
BOWFIELD,WATERFORD,WATERFORD,Waterford City,658795,613304,157,77,0
GREENFIELDS,OLD TRAMORE RD,WATERFORD,Waterford City,660329,609592,160,131,3
CARRICKPHIERISH UPPER,CARRICKPHIERISH ,CARRICKPHIERISH,Waterford City,657903,612489,111,0,0
CUL NA CILLE,BALLINROAD,DUNGARVAN,Waterford Co,628923,594464,28,8,7
ST MOCHUAS TCE,CLASHMORE,CLASHMORE,Waterford Co,612365,584222,7,4,3
ROS MHUIRE,TRAMORE,TRAMORE,Waterford Co,657866,602509,11,8,3
NEWTOWN PARK,TRAMORE,TRAMORE,Waterford Co,656761,600469,31,5,2
BALLYHENNEY,CLASHMORE,CLASHMORE,Waterford Co,612303,584006,6,0,0
68-70 O'CONNELL ST,DUNGARVAN,DUNGARVAN,Waterford Co,625816,593116,14,0,0
FAN GLAS,KILMEADEN,KILMEADEN,Waterford Co,652107,608955,56,44,3
WATERS EDGE,RINGAPHUCA,DUNGARVAN,Waterford Co,625775,594767,40,23,4
AIRFIELD POINT,DUNMORE EAST,DUNMORE EAST,Waterford Co,667883,600284,111,43,21
PORT NA HABHANN,CAPPOQUINN,CAPPOQUINN,Waterford Co,610045,599521,14,7,4
CUL NA CIRCE,COOK ST,CAPPOQUINN,Waterford Co,610318,599352,13,1,0
GORT DARA,CARRIGEEN,CAPPOQUINN,Waterford Co,610469,598441,33,2,1
THE MILLS,BALLYSAGGART BEG,LISMORE,Waterford Co,604963,597889,61,26,10
COPPER HILL,BONMAHON,BONMAHON,Waterford Co,644005,599058,8,2,4
AN RINN,AN RINN,AN RINN,Waterford Co,628515,588463,15,0,0
COOL NA MARA,KILL,KILL,Waterford Co,645570,602964,54,40,14
ST JAMES WOOD,STRADBALLY,STRADBALLY,Waterford Co,636695,597775,14,4,10
DEER PARK VIEW,BALLYMACABERY,BALLYMACABERY,Waterford Co,618837,612858,15,12,0
DEERPARK,CLONEA POWER,CLONEA POWER,Waterford Co,637601,614623,35,7,0
Russell Court, ,Ardmore,Waterford Co,618863,577834,5,2,3
The Heritage,Dysart Grove,Ardmore,Waterford Co,619211,577262,45,22,5
MONVOY COURT,TRAMORE,TRAMORE,Waterford Co,657549,602357,72,0,3
MONKSFIELD,CLONEA RD,DUNGARVAN,Waterford Co,626829,593769,146,17,15
WHITESTRAND,CLONEA RD,DUNGARVAN,Waterford Co,627259,593845,25,0,22
RAILWAY GDNS,STATION RD,LISMORE,Waterford Co,604362,597971,51,15,10
Green Street,Green Street,Castlepollard,Westmeath,646073,770644,43, ,20
Rathgrave Greens,Water Street,Castlepollard,Westmeath,646594,770757,42,2,10
The Paddock,Dublin Road,Castlepollard,Westmeath,646812,769745,30,10,2
Cionn Torc,Dublin Road,Castlepollard,Westmeath,646537,770151,15,10,5
Cluain Ard,Church St,Castlepollard,Westmeath,646793,770145,54, , 
Kingscourt,Church St,Castlepollard,Westmeath,646843,770296,100,9,17
Cluain Milain, ,Clonmellon,Westmeath,664844,768968,71,9,5
Pat O'Brien & Sons,Kilallon Road,Clonmellon,Westmeath,664568,768801,26,8,2
Radharc an Mhuillin,Rathwire,Killucan,Westmeath,657493,750963,88,57,15
Boher na hAbann,Rathwire,Killucan,Westmeath,657317,751404,6,3,3
Village Green, ,Killucan,Westmeath,657015,751699,56,18,13
Ivy Court,Cloughan Road,Killucan,Westmeath,656775,752124,40,9,3
Killucan Manor,Rathwire,Killucan,Westmeath,657320,750986,50,38,6
Hawthorn Bank,Royal Canal,Mullingar,Westmeath,644429,752441,446,206,4
Belvedere Hills,Ballinderry,Mullingar,Westmeath,644138,751531,206,173,33
Grange,Athlone Rd,Mullingar,Westmeath,641080,751984,134,16,17
Greenpark Meadows,Ballymahon Rd,Mullingar,Westmeath,641023,752186,85,7,16
Tailteann Court,Longford Road,Mullingar,Westmeath,643234,753765,64, ,64
Rathgowan  Park, ,Mullingar,Westmeath,642089,753180,360,10,28
College Vale,Irishtown,Mullingar,Westmeath,642311,754803,71,51, 
Tircroghan, ,Kinnegad,Westmeath,659033,745601,121,115,6
Abbeybrooke,Tullamore Rd,Kilbeggan,Westmeath,633340,735196,327,52,45
Loch Luacha,Glasson Road,Mount Temple,Westmeath,614643,742586,16,1,8
Cluain Lorcain,Ballyhealy Road,Delvin,Westmeath,660315,762593,36,7, 
 ,Mountemple Road,Moate,Westmeath,617546,739269,86,38,1
Gleann Duchais,Mountemple Road,Moate,Westmeath,617532,739164,15,8,7
Lake Road,Lake Road,Moate,Westmeath,617756,738688,204,15,19
Whitecroft Court,Main Street,Moate,Westmeath,618308,738533,14, , 
Plary Abbey, ,Ballymore,Westmeath,622047,749028,34,4,8
Stoneleigh,,Ballymore ,Westmeath,622365,748956,25,20,5
Glenatore,Clonbrusk,Athlone,Westmeath,604112,742993,63,2,28
Fairlands,Roscommon Road,Athlone,Westmeath,602585,741821,32,25,7
An Fionnan,Magazine Road,Athlone,Westmeath,603333,741472,17,,
Bastion Court,The Docks,Athlone,Westmeath,603928,741139,70,42,9
Coill Ur,Ballymahon Rd,Athlone,Westmeath,606560,742827,18,11,
The Orchard,Blyry Lr,Athlone,Westmeath,606639,742837,114,83,4
Drum a Conn,Ballymahon Rd,Athlone,Westmeath,606277,742810,94,61,3
New Forest Park,Golf Club,Tyrrelspass,Westmeath,637842,737779,83,,9
Gleann Pettit,Dublin Road,Mullingar,Westmeath,645523,753047,40,32,3
Toorvalley,Ballymore Rd,Moate,Westmeath,618958,739010,50,28,6
Athlone Town Centre,City Quarter,Athlone,Westmeath,604231,741612,150,70,80
Cois na hAbhainn,Station Road,Moate,Westmeath,618582,738760,136,91,12
Auburn Close,Auburn Heights,Athlone,Westmeath,605829,741351,10,1,9
Ballysimon,Ballysimon,Monageer,Wexford,702742,642757,9,4, 
Gleann Na GCaor,Monageer,Monageer,Wexford,703132,642961,24,23,1
,Drumgoold,Enniscorthy,Wexford,698385,639421,32,31,1
Castle Gardens,Drumgoold ED,Enniscorthy,Wexford,699191,638857,54,1,53
Johns Court,Lower John Street,Wexford,Wexford,704582,621911,4, ,4
Ard Colm,Hospital Hill Road,Bunclody,Wexford,691028,656134,6,5, 
Old Forest,Ryland Upper,Bunclody,Wexford,691440,655482,57,34,8
Clohamon Village,Clohamon ,Bunclody,Wexford,693365,654819,5,2, 
"Crosaire, Ballyphilip",Kilmyshall,Bunclody,Wexford,691151,653422,9,2,7
Ballindaggin ,Ballindaggin,Enniscorthy,Wexford,689377,647246,10,2, 
Radharc na Bhfanaithe,Killann,Enniscorthy,Wexford,685224,642046,12,3,1
Killann,Killann,Enniscorthy,Wexford,685326,641696,3,1,2
Ballywilliam,Ballyanne,Enniscorthy,Wexford,677302,633509,3,2, 
Bellville,Mountgarrett,New Ross ,Wexford,672248,628494,32, , 
Fairgreen,Mountgarrett Lane,New Ross,Wexford,672191,627986,10,8,2
Millhouse,Newtown Commons ,New Ross,Wexford,673336,628676,25,19,6
Long Meadow,Irishtown ,New Ross,Wexford,673029,627783,50,44,6
Elm Park,Oaklands,New Ross,Wexford,672668,626608,36,34,1
Auburn Ave,Oaklands,New ross,Wexford,672891,626461,18,18, 
The Grove,Oaklands,New Ross,Wexford,671767,626390,20,20, 
Convent Court,Irishtown ,New Ross,Wexford,672560,628076,28,22,6
Wheelagower,Rossard,Enniscorthy,Wexford,686678,647399,4, , 
Cnoc na Greine,Coolgraney,Gorey,Wexford,718627,669944,10,1,2
Berryfields,Ferns,Enniscorthy,Wexford,702174,649299,58,20,25
Cluain Caislean,Ferns,Enniscorthy,Wexford,701622,649531,77,62,13
Bellfield Springs,Milehouse Road,Enniscorthy,Wexford,696238,640594,4,4, 
Westbury Wood,The Moyne,Enniscorthy,Wexford,696668,641186,89,88,1
Meadow Fields,The Moyne,Enniscorthy,Wexford,697010,641405,100,36,16
Marshalstown,Marshalstown ,Enniscorthy,Wexford,695233,645224,2, , 
Shingaun,Milehouse Road ,Enniscorthy,Wexford,695542,640990,198,197,1
Forest Park Road,Courttown ,Gorey,Wexford,719667,656559,2,,1
Ocean Point,Courttown ,Gorey,Wexford,719786,656298,38,2,36
Woodlands,Courtown,Gorey,Wexford,719475,656432,51,48,
Sunset Avenue ,Riverchapel ,Gorey,Wexford,719339,655250,10,9, 
Middletown Valley ,Riverchapel ,Gorey,Wexford,719239,655247,60,52, 
Aylesbridge,Riverchapel ,Gorey,Wexford,719274,655173,117,39,4
Innsbrook,Riverchapel ,Gorey,Wexford,719556,655372,11,8,3
Mordaunt Close,Riverchapel ,Gorey,Wexford,719564,655263,4, ,4
Glen Cove     ,"Glenrichards, Poulshone",Gorey,Wexford,720062,653355,43,2,1
Sandy Cove,Ballymoney,Gorey,Wexford,721007,660917,55,51,2
Prospect,Ballymoney,Gorey,Wexford,719533,660272,13,10, 
Carrig Vale,Killanerin,Gorey,Wexford,715949,665678,16,6,1
Curragh Woods,Killanerin,Gorey,Wexford,715857,665612,10,9,1
An Bruach,Killanerin,Gorey,Wexford,715804,665680,10,9,1
Fermoyle Manor,Killanerin,Gorey,Wexford,715885,665824,23,2,1
Castle Meadow,Killanerin,Gorey,Wexford,715167,665439,5,2, 
Limbrick,Killanerin,Gorey,Wexford,714443,665893,3,1, 
Scholars Rest,Hollyfort,Gorey,Wexford,711410,664219,8, ,2
Meadows,Monaseed,Gorey,Wexford,707962,664187,14,3,1
An tOilean,Craanford,Gorey,Wexford,708595,659809,26,1,2
Millfield,Ballycanew,Gorey,Wexford,714965,652086,12,10,2
Coolook Meadow,Ballycanew,Gorey,Wexford,715330,651944,4,2, 
Ballinclare,Ballycanew,Gorey,Wexford,713997,651038,3, , 
The Bosheen,New Ross,New Ross,Wexford,672375,627846,64,52,12
Pairc Na Bearna,Drumgoold,Enniscorthy,Wexford,698630,639795,50,2,5
Ard Na Bui,Kilmore Quay,Wexford,Wexford,696737,603936,13,12,1
Wexford Road,Kilmore Quay,Wexford,Wexford,696939,604416,4,2, 
Sarshill,Kilmore Quay,Kilmore,Wexford,698657,605654,6, , 
Coill Aoibhinn,Newtown,Wexford,Wexford,701808,622169,69,68,1
Elderwood,Ballytramon,Castlebridge,Wexford,705428,626088,91,57,13
Anvil Court,Ballymurn,Enniscorthy,Wexford,703569,633347,17,16,1
Oak Park,Ballymurn,Enniscorthy,Wexford,703371,633566,42,34,8
Cois Na Sruthan,Oulartwick Beg,Enniscorthy,Wexford,704805,640966,3,1, 
An tArdan,Coolook More,Ballycanew,Wexford,716608,650570,16,15,1
Cahore,Cahore,Gorey,Wexford,721989,647151,26, ,1
Chestnut Walk,Kilmuckridge,Gorey,Wexford,716600,641798,54,54, 
Chapel Wood,Kilmuckridge,Gorey,Wexford,716735,640932,98,78,1
Hazeldene,Blackwater,Enniscorthy,Wexford,712419,634485,5,3,1
Sea Vista,Ballaghblake,Curracloe,Wexford,709196,629037,12,12, 
Riverchapel Wood,Ballintray Upper ,Riverchapel,Wexford,719030,655955,200,103,20
Ard Chuain,Pembrokestown,Wexford,Wexford,704041,619668,45,34,1
Plasan,Bridgetown North,Bridgetown,Wexford,698893,609815,24,4, 
St Davids Well,Bridgetown South,Bridgetown,Wexford,698831,609672,50,32,11
Hazelwood,Bridgetown South,Bridgetown,Wexford,699124,609763,120,82,10
Hollyfield,Bridgetown South,Bridgetown,Wexford,699591,609595,7, , 
An Caislean,Bridgetown South,Bridgetown,Wexford,699037,609428,10,4, 
Coastguard Cove,Arthurstown,New Ross,Wexford,671303,610745,9, ,9
Cois Cuain,Arthurstown,New Ross,Wexford,671320,610835,25,25, 
South Beach,Duncannon,New Ross,Wexford,673656,608231,58,52,6
Templars Way,Templetown,New Ross,Wexford,675822,602120,5, ,1
Hookless Village,Fethard - on Sea,New Ross,Wexford,676559,601965,74,37,10
Shelbourne Place,Campile,New Ross,Wexford,672272,616259,35,6, 
O'Rahilly View,Gusserane,New Ross,Wexford,677885,618012,10,7,
Barr na Coille,Cassagh,New Ross,Wexford,676570,621924,10,10, 
Fairfields,Adamstown,Enniscorthy,Wexford,687465,627621,45,4,7
Pleasant Meadows,Clongeen,Wellingtonbridge,Wexford,684051,616979,10,7,3
Pooldoon/Clongeen X Road,Clongeen,Wellingtonbridge,Wexford,684445,617527,2, , 
Fir Trees,Ballymitty,Wellingtonbridge,Wexford,690972,616470,3,2, 
Carrigmacogue Park,Bree,Enniscorthy,Wexford,694621,632716,24,4,10
Grange,Kilmore Village,Kilmore,Wexford,699142,606967,47,17,8
The Moorings,Ballask,Lady's Island,Wexford,712399,606187,5,1,1
Timber Well,"Grahormack, Kilscoran",Tagoat,Wexford,709993,611545,5,4,1
Churchtown Court,Kilrane,Rosslare Harbour,Wexford,712333,611220,19,5,1
Church Wood,Kilrane,Rosslare Harbour,Wexford,712520,611143,32,16, 
Cul Na Greine,Kilrane,Rosslare Harbour,Wexford,712925,610982,56,16,25
Barr na Haille,Ballyaddragh,Rosslare Harbour,Wexford,714119,611714,109,12,4
Portside,Ballygillane Big,Rosslare Harbour,Wexford,713371,611819,43,1,1
Walsheslough,Walsheslough,Rosslare Strand,Wexford,709960,614181,25,19,5
South Bay,Rosslare Strand,Rosslare Strand,Wexford,710388,613842,53,48,3
Cuan Aoibhinn,Rosslare Strand,Rosslare Strand,Wexford,709586,614288,30,21,1
Streem Street,Poulmarl,Taghmon,Wexford,691862,619923,6, , 
Barnahask,Curracloe,Curracloe,Wexford,709396,627992,26,26, 
Pleasant Meadows,Clongeen Village,Clongeen,Wexford,684074,616960,10,7,3
Oldtown Court,Clongeen Village,Clongeen,Wexford,684001,616758,15,9, 
Church View,Clongeen Village,Clongeen,Wexford,683924,617004,15,8,2
Church Road,Clongeen Village,Clongeen,Wexford,684124,616848,5,5, 
Glor Na Gaoithe,Cleariestown South,Cleariestown,Wexford,695945,614685,24,8,6
Clearwater Cove,Rosslare Strand,Rosslare Strand,Wexford,710227,614033,45,42,3
Mauritiustown View,Mauritiustown,Rosslare Strand,Wexford,709764,613859,10, , 
Clonattin Village,Clonattin,Gorey,Wexford,716915,660002,287,257,22
Meadow Gate,Knockmullen,Gorey,Wexford,715252,658711,150,141,3
The Heath,Ramsgate,Gorey,Wexford,715091,658800,195,171,19
Station Court,The Avenue,Gorey,Wexford,715331,659107,83,66,4
Avenue Grove,The Avenue,Gorey,Wexford,715366,659191,30,3,27
Parsons Brook,Hollyfort Road,Gorey,Wexford,714655,660065,34,32,2
Beside Hospital,Main Street,Gorey,Wexford,714879,659468,4,3,1
Woodlands Manor,Demesne,Gorey,Wexford,715469,660666,142,57,1
Coill Na Guise,Ballytegan Park,Gorey,Wexford,715763,660914,65, , 
Hollyfort Road,Hollyfort Road,Gorey,Wexford,714811,659885,11,10,1
Carrig Lawn,Coolcotts Lane,Wexford,Wexford,703464,621890,4, ,1
Cluain Aoibhinn,Clonard Road ,Wexford,Wexford,703383,621237,4,3, 
Cluain Dara,Clonard Road ,Wexford,Wexford,702504,621217,246,190,2
Johns Court,21 & 23 Lower John Street,Wexford,Wexford,704572,621911,4, ,4
Clonard Village Centre,Clonard ,Wexford,Wexford,702505,620410,37,25,12
The Maltings,The Faythe,Wexford,Wexford,705076,621209,23,17,6
Stonebridge,Paul Quay,Wexford,Wexford,705055,621677,65, ,60
Clos Na Ri,Coolcotts Lane,Wexford,Wexford,702709,621392,61,39,2
Starvehall,Drinagh,Wexford,Wexford,703520,618406,5,3, 
Ballywilliam,Ballynestragh,Gorey,Wexford,719089,663668,5,2,3
Daeglen,Ballywilliam,Gorey,Wexford,719004,663545,6,4, 
The Rise,Bvallyminaun Hill,Gorey,Wexford,714359,655088,4,3, 
"Riverbank, Monbay Lower",Rossminogue,Gorey,Wexford,707082,659767,4,2,2
Waterside Close,Askamore,Gorey,Wexford,703047,659274,5, ,1
Askamore,Askamore,Gorey,Wexford,702787,658834,4,1, 
Shrule,Kilcomb,Gorey,Wexford,705717,659547,2, , 
Monasootagh,Kilcomb,Gorey,Wexford,703773,657770,3,2,1
Ballybeg,Ferns,Enniscorthy,Wexford,701011,655772,3,1,1
Carrig Beg,Danecastle,Bannow,Wexford,686619,610861,20, ,2
Carrick,Bannow,Bannow,Wexford,686433,610222,2, , 
Kiltra,Bannow,Wellington Bridge,Wexford,685529,610650,2,1, 
Arnestown,Ballymitty,Wellington Bridge,Wexford,687318,616312,2,1,1
Whitewater Estuary,Ballyhack,New Ross,Wexford,670688,611455,22,18,4
Templar's Way,Clonlard,Fethard on Sea,Wexford,676010,606508,5, ,1
Opposite Harbour view,Harbour road,Duncannon,Wexford,672787,608368,5,4, 
Barnlands,Ballynestragh,Gorey,Wexford,714939,663455,4, ,3
"The Oaks, Knockavootha",Ballynestragh,Gorey,Wexford,714989,662886,4,1, 
Craan,Ferns,Enniscorthy,Wexford,700037,650068,2,1,1
Tombrack,Ferns,Enniscorthy,Wexford,698340,651100,15,10,1
Walsheslough,Rosslare,Wexford,Wexford,709808,614480,4,1,
The Moorings,Ballask,Lady's Island,Wexford,712405,606187,5,2,
Saltmills,Tintern,New Ross,Wexford,679579,608963,2,1,
North Quay,New Ross,New Ross,Wexford,671831,627733,5, , 
Piercestown,Piercestown,Wexford,Wexford,703678,616057,6,5,1
Walsheslough,Rosslare,Rosslare Strand,Wexford,709564,614403,3,1,2
River Gate,Craywell ,New Ross,Wexford,672037,628129,51,34,17
Seafield,Ballymoney,Gorey,Wexford,720455,659768,89,80,1
Parkton Mews,Parnell Road,Enniscorthy,Wexford,696981,639553,26,10, 
Bridgemeadow ,Milehouse Rd ,Enniscorthy,Wexford,695719,640848,154,88,39
Sliabh Adharc,Milehouse Road,Enniscorthy,Wexford,695844,640950,73,54,
An Glasan,The Moyne,Enniscorthy,Wexford,696357,641340,150,21,2
Madeira Oaks,The Moyne,Enniscorthy,Wexford,696826,641511,196,189,2
Glenaoibhinn,Riverchapel ,Gorey,Wexford,719414,655175,83,50,2
Seaview ,"Glenrichards, Poulshone",Gorey,Wexford,719682,653434,58,54,2
Taobh Na Coille,Killanerin,Gorey,Wexford,715743,665981,10, , 
Ard Uisce,Pembrokestown,Wexford,Wexford,703937,619623,154,58,3
Richmond,Distillery Road,Wexford,Wexford,703746,620488,4, , 
Ashfield,Blackwater,Enniscorthy,Wexford,711879,634303,44,31, 
Whitebrook,Pembrokestown,Wexford,Wexford,703741,619909,330,172,2
Aughermon,Ballymitty,Wellingtonbridge,Wexford,690310,615406,3, , 
St Martins Road,St Martins Road,Rosslare Harbour,Wexford,713589,612137,4, , 
Grange Lough,Rosslare Strand,Rosslare Strand,Wexford,709551,614073,8, , 
"Cushenstown,",Carnagh,New Ross,Wexford,678958,624928,15,8, 
Civic Centre,The Avenue,Gorey,Wexford,715184,659402,8, , 
Ballaghboy,Clogh,Gorey,Wexford,711086,656229,4, , 
Hunters Green,Creagh Demense,Gorey,Wexford,714800,660295,100,11,9
Ard Na Slaine,Newtown Road,Wexford,Wexford,701988,622555,50,4,2
Strandfield Manor,Spawell Road,Wexford,Wexford,703875,622502,53,5,3
Monasootagh,Kilcomb,Gorey,Wexford,704351,657822,4,2,1
Kilbride,The Ballagh,Enniscorthy,Wexford,705337,638156,4, , 
Ramsgrange,Rathroe,New Ross,Wexford,674780,609659,3, ,1
Millmount Court, ,Tinahely,Wicklow,703533,673261,6,5,1
Brookfield,Coolattin Road,Carnew,Wicklow,701137,663734,22,19, 
Wyvern Square,Main Street,Bray,Wicklow,726434,718432,17,0,2
Bosun's Rest,Mount Carmel,Wicklow Town,Wicklow,731408,693322,21,8,4
Wilton Manor,Saunders Lane,Rathnew,Wicklow,729119,694650,65,18,10
Burkeen,Greenhills Road,Wicklow Town,Wicklow,729511,694621,110,99,6
Blackthorn Bay,Greenhills Road,Wicklow Town,Wicklow,732098,692905,4, ,2
Riversdale ,Dargle Road,Bray,Wicklow,724738,717678,124,121,3
Highfield Court,Bollarney,Wicklow Town,Wicklow,730207,694710,62,60,2
Dunne - Whittle,Broomhall,Ballynerrin,Wicklow,728757,694524,139, , 
Emyvale,Ballyrane Upper,Arklow,Wicklow,722642,673331,79,31, 
Bramble Hill,Lugduff,Tinahely,Wicklow,704496,672768,19,3,1
Main Street, ,Avoca,Wicklow,720332,680078,4, ,4
Millmount Meadows, ,Avoca,Wicklow,720359,680287,28,4, 
Belard, ,Glenealy,Wicklow,724685,692085,37,34,2
The Woods   ,Laragh Road,Rathdrum,Wicklow,718599,688682,64,60,4
Viewmount ,Knockadosan,Rathdrum,Wicklow,717649,688330,101,14,6
The Field,Ballyhara,Barndarrig,Wicklow,726862,686102,9,6,3
Waltrim Grove,Killarney Road,Bray,Wicklow,725026,716364,72,47,25
Richmond Way,Killarney Road,Bray,Wicklow,725273,717183,10,7,3
Humewood Oaks,,Kiltegan,Wicklow,693680,684823,10,0,2
Douglas court , ,Kiltegan,Wicklow,693958,684498,4,2,2
Main Street,Main Street,Baltinglass,Wicklow,686922,688548,2, , 
Slaney court,Edward Street,Baltinglass,Wicklow,686701,688512,15, , 
Hollywood Upper ?,Hollywood Upper,Hollywood,Wicklow,693960,705699,4,1, 
Shillelagh Manor,Ballard,Shillelagh,Wicklow,698154,667284,8,6,2
John Kelly,Edward Street,Baltinglass,Wicklow,686742,688448,8,,8
Cloneen Estate,Ballard,Ballinaclash,Wicklow,716645,685739,10,8,2
Derrybawn,Aughrim Lower,Aughrim,Wicklow,711945,679423,41,39,2
Aughrim Hall ,Aughrim Lower,Aughrim,Wicklow,711836,677318,54,48,6
Market Square,Main Street,Rathdrum,Wicklow,718767,688202,50, , 
Priory Court,Wentworth Place,Wicklow Town,Wicklow,731269,694153,4, , 
Site,Oghill Lower,Redcross,Wicklow,724882,683504,6, , 
2 houses,Coolgreany Road,Arklow,Wicklow,723020,673022,2, ,2
Macreddin Golf Village,Macreddin,Aughrim,Wicklow,712035,682757,19,1,3
CARRIG VIEW,GREENHILLS ROAD,WICKLOW,Wicklow,732009,692847,16,0,4
THE NURSERIES,CHERRY  LANE,DELGANY,Wicklow,728374,711146,14,12,0
GLENAIR MANOR,PRIORY  ROAD,DELGANY,Wicklow,728098,710569,9,7,0
CONVENT PLACE,CONVENT ROAD,DELGANY,Wicklow,727853,711312,9,0,0
BLACKCHAPEL MEWS,LOTT  LANE,KILCOOLE,Wicklow,729866,708486,2,0,2
HOLYWELL ,SEA ROAD,KILCOOLE,Wicklow,730195,707851,186,116,15
 WOODSTOCK DEMESNE, DRUIDS GLEN  ESTATE,KILCOOLE,Wicklow,729065,706274,40,6,16
