Name of Development,Street Address / Townland,"Town, Village, Suburb ",County,x,y,TOTAL,Complete & occupied,Complete & vacant
Old Tin Church,Strand Road,Portmarnock,Fingal,723754,742832,25, , 
Sherman Oaks Site,Station Road,Portmarnock,Fingal,723718,744267,684, , 
Nagle Site,Carrickhill Road Upper ,Portmarnock,Fingal,724013,743949,4, , 
The Kilns,Station Road,Portmarnock,Fingal,722910,742564,128,125,3
Delvin Banks,Balbriggan Road,Naul,Fingal,713380,760976,76,43,33
Weston Avenue,Main Street,Naul,Fingal,713286,760715,14,6,8
Weston park,Fieldstown road,Oldtown,Fingal,711689,753605,30,9,11
Oldtown Avenue,Fieldstown road,Oldtown,Fingal,711750,753981,15,3,2
Clonmethan Green,O Briens Lane,Oldtown,Fingal,711509,753970,34,16,18
Murragh House,Murragh,Oldtown,Fingal,713617,754244,12, ,12
Windmill Way,Church Road,Garristown,Fingal,707019,758458,38,20,18
Quinn Site 1,Main Street,Garristown,Fingal,707099,758540,11,,
Quinn Site 2,Main Street,Garristown,Fingal,707098,758439,34, , 
The Orchard,Chapel Lane,Garristown,Fingal,707282,758751,21,4,9
Courtneys Way,Garristown Village,Garristown,Fingal,707209,758812,5,3,2
The Grange,Ballyboughal Village,Ballyboughal,Fingal,714905,753379,23,1,1
Lynwood,Ballyboughal Village,Ballyboughal,Fingal,714942,753180,4,3,1
Cnoc Dubh,Ballyboughal Village,Ballyboughal,Fingal,714892,753946,91,,11
Myrtle (Strapolin Phase 1),Grange Road,Baldoyle,Fingal,723131,740323,361,331,30
Red Arches (Strapolin Phase 2),The Coast,Baldoyle,Fingal,723528,740645,478,233,55
Phobal Scoil Nessain,Moyclare rd,Baldoyle,Fingal,724228,739681,10,0,0
Stapolin Phase 3,Strapolin,Baldoyle,Fingal,723269,740731,412, , 
Stapolin Phase 4,Strapolin,Baldoyle,Fingal,723192,740701,394, , 
Stapolin Phase 5,Strapolin,Baldoyle,Fingal,723131,740939,483, , 
Belmayne Phase 3,Belmayne,Clongriffin,Fingal,721370,741349,48, , 
Belmayne Phase 4,Belmayne,Clongriffin,Fingal,721239,741200,184, , 
Heywood Court,Santry Demense,Santry,Fingal,715973,740486,90,80,10
Carrington ,Northwood,Santry,Fingal,716226,740770,348,283,65
CHAPELHILL,MARTINS  ROW,CHAPELIZOD,Fingal,709732,735102,20,2,14
Parlickstown Cottage,1 Church Road,Mulhuddart,Fingal,706628,740501,23,7,16
Tyrellstown Park,"Damastown Ave, ","Mulhuddart, D15",Fingal,706578,741441,235,0,0
Strand rd/Carrickhill Rd,Strandhill/Carrickhill rd,Portmarnock,Fingal,723950,743041,24,0,0
Beverton,Turvey,Donabate,Fingal,722166,750513,131,48,4
The Forge,Lusk Relief Road,Lusk,Fingal,721725,753907,182, ,4
Seabrook,Brook Lane,Rush,Fingal,725716,754600,82,4,10
Golden Ridge,Skerries Road,Rush,Fingal,726376,754770,238,178,47
Bernageeragh Cove,Balbriggan Road,Skerries,Fingal,722856,761083,544,31,24
The Ospreys,Balbriggan Road,Skerries,Fingal,722852,761058,16, ,1
Palmer Avenue- Phase 1,Palmer Road,Rush,Fingal,726164,755347,58,24,12
Hayestown Close,Old Hayestown,Rush,Fingal,725347,754463,5,3, 
Waterside,Swords Road,Malahide,Fingal,719492,746163,177,15,4
Myra Manor,Malahide Road,Feltrim,Fingal,721271,744087,25,17,2
Butterly Site,Swords Road,Malahide,Fingal,720403,745997,27, , 
Hampton Gardens,Naul Road,Balbriggan,Fingal,718997,763552,158, ,38
Castleland Park,Castleland,Balbriggan,Fingal,720714,762670,432,80,8
RYE ABBEY,CONNAUGHT  STREET,KILCOCK,Kildare,688944,739268,52,34,2
 KILBELIN  VIEW, ROSEMEADOW,NEWBRIDGE,Kildare,680930,714046,14,10,4
ARANBEL, BRYTON PARK,KILCOCK,Kildare,688007,739843,176,162,14
WILLOW RISE, PRIMROSE HILL,CELBRIDGE,Kildare,697892,732496,7,0,0
BEECH  PARK,"GLENEASTON, RINAWADE",LEIXLIP,Kildare,698325,735787,312,198,6
NEWTOWN PARK,NEWTOWN ROAD,KILL,Kildare,693776,722136,152,141,9
Brookesmill, ,Prosperous,Kildare,683044,727283,35,17,2
Mossbrook, ,Prosperous,Kildare,682675,727163,18,2, 
The Glen,Oldtown Mill,Celbridge,Kildare,696278,734194,30,21,1
Ardrew Meadows,Ardrew,Athy,Kildare,667782,692821,86,55,31
Prusselstown Greeen, ,Athy,Kildare,669469,695589,86,6,1
Gallowshill,Kildare Road,Athy,Kildare,669629,694496,60,30,2
Hollands Park,Kildare Road,Athy,Kildare,668816,694583,57,35, 
The Grove, ,Athy,Kildare,668571,694128,12,9,3
Convent View Crescent, ,Athy,Kildare,668371,694398,18,15,3
Cluain Aoibhinn,,Calverstown,Kildare,680248,704276,29,4,3
Conyboro    Phase 1,Carlow Road,Athy,Kildare,668948,692917,402,357,45
Conyboro    Phase 2,Carlow Road,Athy,Kildare,668946,692695,112, , 
Dun Brinn,,Athy,Kildare,668036,693040,304,292,12
Glebelands,Carlow Road,Athy,Kildare,668925,693156,100,7,3
Highfield Lodges,"Ballygibbon East, Kilmore",Carbury ,Kildare,665521,735138,30,10,0
Cluain Bearu, ,Athy,Kildare,668090,694872,239,114,26
Lis Na Dara,"Ballyfair, Cut Bush",Ballysax,Kildare,678063,708438,6,0,0
Blessington Manor,Kilmalum,Blessington,Kildare,697204,713974,108,81,16
Brownstown Manor,Brownstown Lower,Brownstown,Kildare,677528,710106,38,10,2
Unknown site – Cherrybank Construction,Brownstown Lower,Curragh,Kildare,677603,710241,6,1,1
The Streams, ,Caragh,Kildare,684825,721294,35,30,0
 The Friary,Skenagun / Garterfarm,Castledermot,Kildare,678008,685519,57,48,0
