quarter,region,Persons aged 15 years and over in Employment (Thousand),Unemployed Persons aged 15 years and over (Thousand),Persons aged 15 years and over in Labour Force (Thousand),ILO Unemployment Rate (15 - 74 years) (%),ILO Participation Rate (15 years and over) (%)
01/07/2014,Mid-West,155.6,20,175.6,11.4,59.6
01/10/2014,Mid-West,152.8,17.3,170.1,10.2,57.7
01/01/2015,Mid-West,148.6,16.7,165.4,10.2,56.2
01/04/2015,Mid-West,152.3,19.1,171.4,11.2,58.2
01/07/2015,Mid-West,157.4,16.9,174.4,9.8,59.5
01/10/2015,Mid-West,153.1,14.1,167.1,8.5,57.1
01/01/2016,Mid-West,153.9,13.2,167.1,7.9,57.1
01/04/2016,Mid-West,157.6,14.6,172.2,8.5,58.3
01/07/2016,Mid-West,162.4,12.9,175.3,7.4,59.4
01/10/2016,Mid-West,164.4,10.4,174.8,6,59
01/01/2017,Mid-West,157.9,11.5,169.4,6.8,57.2
01/04/2017,Mid-West,161.9,11.5,173.4,6.7,58.6
01/01/1998,South-East,150.9,16.7,167.6,10,55
01/04/1998,South-East,152.2,16.2,168.4,9.7,54.9
01/07/1998,South-East,158.1,16.4,174.5,9.5,56.5
01/10/1998,South-East,157.9,13.9,171.7,8.1,55.3
01/01/1999,South-East,159,14.6,173.6,8.5,55.8
01/04/1999,South-East,163,15,178,8.5,57
01/07/1999,South-East,171.5,13.3,184.8,7.2,59
01/10/1999,South-East,169.6,11.4,181,6.3,57.5
01/01/2000,South-East,168.2,10.3,178.5,5.8,56.6
01/04/2000,South-East,172.1,9.6,181.7,5.3,57.4
01/07/2000,South-East,177.9,9.3,187.2,5,58.8
01/10/2000,South-East,173.7,8.2,181.9,4.5,56.6
01/01/2001,South-East,173.4,8.7,182,4.8,56.5
01/04/2001,South-East,177.3,8.6,185.9,4.6,57.4
01/07/2001,South-East,186.8,8.6,195.5,4.4,60
01/10/2001,South-East,182.7,7.9,190.7,4.2,58.2
01/01/2002,South-East,183.2,8.6,191.8,4.5,58.3
01/04/2002,South-East,184.2,9.3,193.6,4.8,58.6
01/07/2002,South-East,189.8,9.7,199.5,4.9,60.1
01/10/2002,South-East,184.8,11.9,196.7,6.1,58.9
01/01/2003,South-East,186.6,11.4,198,5.8,59.1
01/04/2003,South-East,187.2,12.4,199.6,6.2,59.4
01/07/2003,South-East,193.5,11.9,205.4,5.8,60.8
01/10/2003,South-East,189.6,10.1,199.7,5.1,58.7
01/01/2004,South-East,187.9,12.2,200.1,6.2,58.6
01/04/2004,South-East,192.2,11.4,203.7,5.6,59.4
01/07/2004,South-East,193.4,11.6,205,5.7,59.3
01/10/2004,South-East,195.6,10.9,206.5,5.3,59.3
01/01/2005,South-East,197.6,11.4,208.9,5.5,59.6
01/04/2005,South-East,198.4,13.7,212.1,6.5,60.2
01/07/2005,South-East,203.3,14,217.3,6.5,61.1
01/10/2005,South-East,203.6,11.3,215,5.3,59.9
01/01/2006,South-East,205.1,13.2,218.3,6.1,60.5
01/04/2006,South-East,213.9,12.2,226.1,5.4,62.1
01/07/2006,South-East,218.8,12.6,231.4,5.5,63
01/10/2006,South-East,217.9,10.5,228.4,4.6,61.6
01/01/2007,South-East,219.1,11.7,230.7,5.1,61.8
01/04/2007,South-East,224.2,12,236.2,5.1,62.8
01/07/2007,South-East,225.9,12.5,238.4,5.3,62.9
01/10/2007,South-East,226.6,12.1,238.8,5.1,62.4
01/01/2008,South-East,223.2,14.1,237.3,6,61.7
01/04/2008,South-East,227,14.9,241.9,6.2,62.6
01/07/2008,South-East,226.9,18.5,245.3,7.6,63.3
01/10/2008,South-East,219.8,21.6,241.3,9,62.1
01/01/2009,South-East,212.4,27,239.4,11.3,61.5
01/04/2009,South-East,204,35.4,239.4,14.9,61.4
01/07/2009,South-East,202.7,36.2,238.8,15.2,61.2
01/10/2009,South-East,193.9,36.3,230.2,15.8,59
01/01/2010,South-East,189.4,39.9,229.3,17.4,58.8
01/04/2010,South-East,190.9,43.1,234,18.5,59.9
01/07/2010,South-East,191.8,41.5,233.3,17.8,59.8
01/10/2010,South-East,185.8,41.7,227.4,18.4,58.3
01/01/2011,South-East,185.3,39.1,224.5,17.5,57.5
01/04/2011,South-East,184.5,42.3,226.8,18.7,58.2
01/07/2011,South-East,183.8,43.6,227.4,19.3,58.3
01/10/2011,South-East,182.9,43.4,226.2,19.2,58
01/01/2012,South-East,181.3,45.6,226.9,20.1,58.1
01/04/2012,South-East,186,43.6,229.5,19.1,58.8
01/07/2012,South-East,183.8,44.3,228.1,19.5,58.3
01/10/2012,South-East,181.8,42.1,224,18.9,57.2
01/01/2013,South-East,186.5,42,228.6,18.4,58.3
01/04/2013,South-East,187.7,42.1,229.9,18.4,58.4
01/07/2013,South-East,193.8,38.5,232.2,16.6,59
01/10/2013,South-East,197.1,36.2,233.3,15.6,59.1
01/01/2014,South-East,195.8,36.4,232.3,15.7,59
01/04/2014,South-East,198.5,33,231.5,14.3,58.9
01/07/2014,South-East,202.6,32.2,234.8,13.8,59.6
01/10/2014,South-East,204.5,27.7,232.2,12,58.7
01/01/2015,South-East,201.9,29.6,231.5,12.8,58.5
01/04/2015,South-East,206.6,29.5,236.1,12.6,59.9
01/07/2015,South-East,207.4,28.5,236,12.1,59.7
01/10/2015,South-East,205.4,27.7,233.1,11.9,58.6
01/01/2016,South-East,204.4,29.1,233.5,12.5,58.8
01/04/2016,South-East,213.8,25.9,239.6,10.8,60
01/07/2016,South-East,215.1,24.9,240,10.4,60.2
01/10/2016,South-East,214.8,22.1,237,9.4,59.5
01/01/2017,South-East,214.3,21.9,236.2,9.3,58.9
01/04/2017,South-East,214.9,18.8,233.8,8.1,58
01/01/1998,South-West,217,19.4,236.4,8.2,55.1
