Year,Business,Statistic,Count
2011,Real estate activities (L),Persons Engaged (Number),484
2011,"Professional, scientific and technical activities (M)",Persons Engaged (Number),1462
2011,Administrative and support service activities (N),Persons Engaged (Number),1043
2011,Education (P),Persons Engaged (Number),2277
2011,"ICT services (261 to 264,268,465,582,61,62,631)",Persons Engaged (Number),1082
2011,"Business economy excluding activities of holding companies (B to N,-642)",Persons Engaged (Number),27323
2012,Mining and quarrying (B),Persons Engaged (Number),158
2012,Manufacturing (C),Persons Engaged (Number),4533
2012,"Electricity, gas, steam and air conditioning supply (D)",Persons Engaged (Number),25
2012,"Water supply, sewerage, waste management and remediation activities (E)",Persons Engaged (Number),174
2012,Construction (F),Persons Engaged (Number),3005
2012,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Persons Engaged (Number),7498
2012,Transportation and storage (H),Persons Engaged (Number),1423
2012,Accommodation and food service activities (I),Persons Engaged (Number),5608
2012,Information and communication (J),Persons Engaged (Number),1389
2012,Financial and insurance activities excluding activities of holding companies (K-642),Persons Engaged (Number),350
2012,Real estate activities (L),Persons Engaged (Number),482
2012,"Professional, scientific and technical activities (M)",Persons Engaged (Number),1408
2012,Administrative and support service activities (N),Persons Engaged (Number),1039
2012,Education (P),Persons Engaged (Number),2281
2012,"ICT services (261 to 264,268,465,582,61,62,631)",Persons Engaged (Number),1157
2012,"Business economy excluding activities of holding companies (B to N,-642)",Persons Engaged (Number),27092
2013,Mining and quarrying (B),Persons Engaged (Number),157
2013,Manufacturing (C),Persons Engaged (Number),4760
2013,"Electricity, gas, steam and air conditioning supply (D)",Persons Engaged (Number),30
2013,"Water supply, sewerage, waste management and remediation activities (E)",Persons Engaged (Number),173
2013,Construction (F),Persons Engaged (Number),2888
2013,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Persons Engaged (Number),7697
2013,Transportation and storage (H),Persons Engaged (Number),1422
2013,Accommodation and food service activities (I),Persons Engaged (Number),5721
2013,Information and communication (J),Persons Engaged (Number),1543
2013,Financial and insurance activities excluding activities of holding companies (K-642),Persons Engaged (Number),368
2013,Real estate activities (L),Persons Engaged (Number),494
2013,"Professional, scientific and technical activities (M)",Persons Engaged (Number),1413
2013,Administrative and support service activities (N),Persons Engaged (Number),1048
2013,Education (P),Persons Engaged (Number),2309
2013,"ICT services (261 to 264,268,465,582,61,62,631)",Persons Engaged (Number),1301
2013,"Business economy excluding activities of holding companies (B to N,-642)",Persons Engaged (Number),27714
2014,Mining and quarrying (B),Persons Engaged (Number),150
2014,Manufacturing (C),Persons Engaged (Number),4981
2014,"Electricity, gas, steam and air conditioning supply (D)",Persons Engaged (Number),41
2014,"Water supply, sewerage, waste management and remediation activities (E)",Persons Engaged (Number),182
2014,Construction (F),Persons Engaged (Number),3076
2014,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Persons Engaged (Number),7803
2014,Transportation and storage (H),Persons Engaged (Number),1390
2014,Accommodation and food service activities (I),Persons Engaged (Number),6057
2014,Information and communication (J),Persons Engaged (Number),1703
2014,Financial and insurance activities excluding activities of holding companies (K-642),Persons Engaged (Number),360
2014,Real estate activities (L),Persons Engaged (Number),513
2014,"Professional, scientific and technical activities (M)",Persons Engaged (Number),1440
2014,Administrative and support service activities (N),Persons Engaged (Number),1169
2014,Education (P),Persons Engaged (Number),2321
2014,"ICT services (261 to 264,268,465,582,61,62,631)",Persons Engaged (Number),1475
2014,"Business economy excluding activities of holding companies (B to N,-642)",Persons Engaged (Number),28865
2008,Mining and quarrying (B),Employees (Number),237
2008,Manufacturing (C),Employees (Number),4788
2008,"Electricity, gas, steam and air conditioning supply (D)",Employees (Number),
2008,"Water supply, sewerage, waste management and remediation activities (E)",Employees (Number),
2008,Construction (F),Employees (Number),4933
2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Employees (Number),7761
2008,Transportation and storage (H),Employees (Number),977
2008,Accommodation and food service activities (I),Employees (Number),5449
2008,Information and communication (J),Employees (Number),1094
2008,Financial and insurance activities excluding activities of holding companies (K-642),Employees (Number),319
2008,Real estate activities (L),Employees (Number),293
2008,"Professional, scientific and technical activities (M)",Employees (Number),1235
2008,Administrative and support service activities (N),Employees (Number),1170
2008,Education (P),Employees (Number),2113
2008,"ICT services (261 to 264,268,465,582,61,62,631)",Employees (Number),862
2008,"Business economy excluding activities of holding companies (B to N,-642)",Employees (Number),28397
2009,Mining and quarrying (B),Employees (Number),156
2009,Manufacturing (C),Employees (Number),4252
2009,"Electricity, gas, steam and air conditioning supply (D)",Employees (Number),6
2009,"Water supply, sewerage, waste management and remediation activities (E)",Employees (Number),128
2009,Construction (F),Employees (Number),2871
2009,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Employees (Number),6981
2009,Transportation and storage (H),Employees (Number),892
2009,Accommodation and food service activities (I),Employees (Number),5041
2009,Information and communication (J),Employees (Number),988
2009,Financial and insurance activities excluding activities of holding companies (K-642),Employees (Number),292
2009,Real estate activities (L),Employees (Number),228
2009,"Professional, scientific and technical activities (M)",Employees (Number),1063
2009,Administrative and support service activities (N),Employees (Number),941
2009,Education (P),Employees (Number),2009
2009,"ICT services (261 to 264,268,465,582,61,62,631)",Employees (Number),874
2009,"Business economy excluding activities of holding companies (B to N,-642)",Employees (Number),23839
2010,Mining and quarrying (B),Employees (Number),130
2010,Manufacturing (C),Employees (Number),4236
2010,"Electricity, gas, steam and air conditioning supply (D)",Employees (Number),13
2010,"Water supply, sewerage, waste management and remediation activities (E)",Employees (Number),139
2010,Construction (F),Employees (Number),1999
2010,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Employees (Number),6649
2010,Transportation and storage (H),Employees (Number),875
