id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9809799,Charming cosy cottage Dublin centre,50537658,Brigid,,Dublin City,53.32298,-6.25037,Entire home/apt,90,14,0,,,1,0
9820907,A Large bright Apartment,50586784,Mark,,Dublin City,53.33906,-6.3067,Entire home/apt,120,2,6,2016-07-10,0.12,1,0
9821497,Cosy flat in Dublin,50589171,Katarína,,Dublin City,53.36839,-6.29791,Entire home/apt,40,1,0,,,1,0
9823065,Single Room Available,50595477,Mayra,,South Dublin,53.32276,-6.37796,Private room,20,1,0,,,1,0
9835087,Modern apartment in Dublin 1,5261458,Mat,,Dublin City,53.35999,-6.25966,Private room,45,1,1,2016-01-03,0.02,1,0
9835656,Homely 2 bed Apartment,50652030,Ian,,Dn Laoghaire-Rathdown,53.24989,-6.14434,Entire home/apt,85,2,5,2018-08-31,0.13,1,0
9851118,Great Apartment in Grand Cannal,13920393,Paz,,Dublin City,53.33778,-6.23797,Private room,75,1,9,2018-03-20,0.17,1,0
9854805,"19 Glenbeigh Park, Dublin 7",50731147,Josephine,,Dublin City,53.35901,-6.29598,Private room,75,1,126,2020-03-15,2.46,2,83
9861180,"Modern, Cozy & Large Ensuite Room",50755423,Fitz,,Dublin City,53.34149,-6.22741,Private room,100,1,0,,,1,0
9875741,Fully furnished 2 bed apt.,50590244,Declan,,Fingal,53.39462,-6.37626,Entire home/apt,60,1,0,,,1,0
9876106,*FAB CENTRAL LOCATION*Bright Apt*off Camden Street,31284582,Paul,,Dublin City,53.33174,-6.26376,Entire home/apt,219,2,273,2020-03-04,5.25,58,115
9885576,Comfy room in the heart of Dublin,42879151,Elena,,Dublin City,53.34662,-6.25015,Private room,55,4,8,2016-07-11,0.16,1,0
9892682,Digital Docklands - Entire Luxury Penthouse SOUF83,30561562,John,,Dublin City,53.34092,-6.23683,Entire home/apt,120,1,140,2020-02-09,2.83,4,150
9897578,Cozy Flat by Guinness Storehouse,36110689,Estelle,,Dublin City,53.34309,-6.29064,Entire home/apt,65,2,0,,,1,0
