id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32586379,"7 Clean apartment, 10 minute walk from Dublin City GROT28",105851083,Jake,,Dublin City,53.3291,-6.26858,Entire home/apt,21,1,44,2019-11-02,4.94,4,78
32587190,"Bright, Beautiful Double Room in Scenic Sutton",187528064,Viv,,Fingal,53.38852,-6.11531,Private room,70,2,11,2019-08-01,1.23,3,43
32587732,"FULL, cozy & bright flat - heart of Dublin",6599186,Judith,,Dublin City,53.33158,-6.26641,Entire home/apt,110,2,8,2019-10-20,0.94,1,5
32589155,Airport Cottage 1,244909714,Brielle,,Fingal,53.4443,-6.22849,Private room,90,1,8,2019-05-30,1.06,9,358
32589784,Airport Cottage 2,244909714,Brielle,,Fingal,53.47005,-6.23136,Private room,90,1,1,2019-08-03,0.26,9,361
32589995,Airport Cottage 3,244909714,Brielle,,Fingal,53.47234,-6.2327,Private room,89,1,0,,,9,352
32590022,Greenfield House UJFD,244943013,Lawrence,,Fingal,53.3931,-6.39064,Entire home/apt,44,1,0,,,1,0
32590176,Airport Cottage 4,244909714,Brielle,,Fingal,53.44442,-6.22781,Private room,91,1,3,2019-09-16,0.33,9,347
32590460,Comfy Cottage 1,244909714,Brielle,,Fingal,53.44297,-6.22731,Private room,90,1,1,2019-08-10,0.28,9,362
32591859,Comfy Cottage 2,244909714,Brielle,,Fingal,53.44317,-6.22741,Private room,90,1,3,2019-08-14,0.38,9,354
32592012,Comfy Cottage 3,244909714,Brielle,,Fingal,53.44323,-6.22755,Private room,90,1,4,2019-08-15,0.47,9,352
32600357,Cosy Single Room in Scenic Sutton,187528064,Viv,,Fingal,53.39017,-6.11322,Private room,35,2,8,2019-10-17,0.91,3,40
32600773,Downstairs Double Room in Scenic Sutton,187528064,Viv,,Fingal,53.38835,-6.11376,Private room,50,2,14,2019-10-14,1.56,3,40
32602063,Beautiful House Walk Everywhere,239063926,Orlaith,,Dublin City,53.34359,-6.24742,Entire home/apt,500,2,9,2019-11-12,1.03,1,215
32602330,Modern 1 Bed Apartment on Top Floor. City Centre.,9499530,Sebastien,,Dublin City,53.3442,-6.29123,Entire home/apt,100,3,8,2019-07-08,0.96,1,0
32602932,Spacious modern apartment on Dublin south side,2144925,Iain And Niamh,,Dn Laoghaire-Rathdown,53.30019,-6.2054,Entire home/apt,120,5,3,2019-08-05,0.42,1,23
32604722,Lovely historic home near city centre,16092592,Jillian,,Dublin City,53.36125,-6.25862,Entire home/apt,180,4,3,2019-09-30,0.80,2,12
32607575,Luxury bedroom with private bathroom i Dublin City,24507906,Willem Frederik,,Dublin City,53.32943,-6.26506,Private room,80,2,18,2019-10-20,2.12,1,112
32608562,Double room with private bathroom with bathtub,187959921,Natalia,,Dn Laoghaire-Rathdown,53.28216,-6.19548,Private room,55,2,12,2019-07-14,1.42,1,80
32609852,Stylish private room in house close to city center,16092592,Jillian,,Dublin City,53.3619,-6.25894,Private room,60,1,5,2019-07-22,0.75,2,0
32610519,Cosy Double Bed Room in the heart of Portobello,48308913,Alice,,Dublin City,53.33149,-6.26854,Private room,55,2,2,2019-04-30,0.24,1,0
32611967,Super Double Bedroom 1+,245101858,Cara,,Dublin City,53.36234,-6.27051,Private room,78,1,13,2019-07-27,1.47,10,344
32612219,Super Family Bedroom 4+,245101858,Cara,,Dublin City,53.36063,-6.27207,Private room,89,1,8,2019-10-20,0.91,10,355
32621604,"We are couple and have 1 kid, we are very friendly",120793105,Shiva,,Fingal,53.39276,-6.44721,Private room,160,1,0,,,1,90
32623910,The Patrick Kavanagh suite - HIPHIPSTAY,152937423,Hiphipstay,,Dublin City,53.33355,-6.24014,Entire home/apt,700,2,25,2019-11-09,2.74,28,300
32627008,Beautiful 4BR home in trendy Ranelagh,245295250,James,,Dublin City,53.3233,-6.25466,Entire home/apt,500,2,15,2019-09-01,2.21,1,0
32627370,Stylish city center apartment near all amenities,16740698,Conor,,Dublin City,53.34879,-6.2776,Entire home/apt,400,3,0,,,1,88
32630283,"Private room Downtown, by Connolly Station",33401473,Graham,,Dublin City,53.35217,-6.249,Private room,100,1,12,2019-11-25,2.18,2,51
32631178,Super Double Bedroom 2+,245101858,Cara,,Dublin City,53.36072,-6.27032,Private room,76,1,10,2019-07-29,1.44,10,328
32632517,Super Family Bedroom 5+,245101858,Cara,,Dublin City,53.35998,-6.27078,Private room,88,1,4,2019-08-17,0.62,10,351
32633105,Super Double Bedroom 6+,245101858,Cara,,Dublin City,53.36223,-6.27228,Private room,69,1,5,2019-08-15,1.05,10,330
32634882,Cozy apartment in the city center,116909197,Jie,,Dublin City,53.35505,-6.26097,Private room,33,6,0,,,1,0
32638148,Cosy double En-suite with Shower,41138950,Joe,,Dublin City,53.33869,-6.22264,Private room,110,1,1,2019-03-18,0.12,1,0
